position,name,rank,rating,matches_played,highest_rank,highest_rating,id
1,Moses,Platinum I,1755,276,Platinum I,1761,78446
2,forehead,Gold III,1735,44,Platinum I,1757,147030
3,blegh,Gold III,1725,43,Platinum I,1745,374530
4,Kobbie Maynoo,Gold III,1714,166,Gold III,1728,104294
5,jonny James,Gold III,1714,157,Gold III,1730,104293
6,baccy,Gold III,1696,143,Platinum I,1765,154
7,yenakis,Gold III,1694,257,Gold III,1737,516
8,JOEY,Gold III,1693,28,Gold III,1693,1701839
9,zuza,Gold III,1688,415,Gold III,1726,231086
10,Trug,Gold III,1687,90,Gold III,1699,648
11,sillysausage,Gold III,1675,253,Platinum I,1758,866634
12,end5d,Gold III,1670,35,Gold III,1673,325
13,DooT,Gold III,1667,93,Gold III,1706,513063
14,Haelnorr,Gold III,1667,38,Gold III,1679,1322560
15,MiqeL,Gold III,1662,44,Gold III,1674,625139
16,Spar,Unranked,1653,9,,,66
17,JDB,Gold II,1651,244,Gold III,1690,889215
18,Dumb,Gold II,1648,221,Gold III,1670,918088
19,Leben James,Gold II,1643,356,Platinum I,1792,851143
20,HippoHugger4000,Gold II,1642,90,Gold III,1662,438631
21,Senior Jorge,Gold II,1635,85,Gold III,1689,149686
22,arf,Gold II,1634,71,Gold II,1644,1085317
23,gecko,Gold II,1627,123,Gold III,1695,462563
24,duc nhan,Gold II,1618,96,Gold II,1628,182
25,kevin food & drink,Gold II,1616,29,Gold III,1671,374559
26,zenonix,Gold II,1613,154,Gold II,1622,1243647
27,willzz,Gold II,1607,58,Gold III,1678,1004826
28,N1Q,Gold II,1605,11,Gold II,1605,157
29,Dandy,Gold II,1597,173,Gold II,1610,156
30,El MoshyO,Unranked,1597,5,,,1022964
31,alfie,Gold II,1594,503,Platinum I,1744,440
32,unc,Gold I,1569,12,Gold I,1569,384090
33,Chebs,Gold I,1568,27,Gold II,1614,598
34,Corzo,Gold I,1561,14,Gold II,1603,830525
35,Cooper Flagg Enthusiast,Gold I,1554,18,Gold I,1554,1085421
36,kaidan,Gold I,1552,153,Gold II,1602,935509
37,CowArmy33,Gold I,1552,14,Gold II,1592,124044
38,JoshuaJoshua,Gold I,1548,18,Gold II,1621,429652
39,jacko,Gold I,1545,17,Gold II,1612,660936
40,T3jay76,Gold I,1542,29,Gold II,1630,592423
41,AmusingDolphin,Gold I,1535,19,Gold II,1580,1006482
42,Badza,Gold I,1532,34,Gold II,1650,417674
43,mellow,Gold I,1522,168,Gold II,1584,2054959
44,erson 2,Gold I,1522,70,Gold II,1622,1103112
45,MassiveLegend,Gold I,1515,54,Gold I,1563,91687
46,xdxavking,Gold I,1501,14,Gold I,1520,2108991
47,zablaxx,Gold I,1495,28,Gold I,1495,277948
48,antspants444,Unranked,1484,4,,,2108992
49,USUGI VAMO,Unranked,1484,4,,,2113611
50,Wang King,Silver III,1478,12,Silver III,1478,2112339
51,Daddy Kermit,Silver III,1467,29,Gold I,1514,464051
52,Aytreena,Silver III,1466,18,Gold I,1500,387542
53,Bread Durst,Unranked,1460,1,,,1107322
54,Paperman4020,Unranked,1446,6,,,2115464
55,Kean,Unranked,1440,6,,,1524280
56,Antarctic,Unranked,1440,3,,,1629618
57,Ali younes,Silver II,1419,16,Silver III,1444,320077
58,4,Unranked,1399,4,,,2119413
59,GEORGE_LEMON01,Unranked,1380,1,,,2117631
60,dogeman,Unranked,1379,1,,,2118162
61,Barna Turambar,Unranked,1379,1,,,1154050
62,SuperRog,Unranked,1378,1,,,1828608
63,muxer,Unranked,1377,1,,,2118108
64,jedi,Unranked,1377,1,,,2118104
65,martin,Unranked,1376,1,,,620
66,Kitty Kitty,Unranked,1375,6,,,1107113
67,samwise,Unranked,1372,1,,,2117024
68,Mrjay,Unranked,1367,1,,,2121252
69,jackrholden14,Unranked,1367,1,,,2121255
70,cooper,Silver I,1362,11,Silver I,1362,147
71,The Laegend Moose,Unranked,1360,4,,,2116990
72,SmokedBroccoli,Unranked,1355,2,,,289418
73,Link__JokeR,Unranked,1353,2,,,2119411
74,Bobs Bakery,Unranked,1343,5,,,970519
75,robopork,Unranked,1342,2,,,577268
76,RecycleJeff,Unranked,1333,3,,,2119421
77,dussypestroyer,Unranked,1322,9,,,2115386
